contest_id,candidate_number,precinct_name,registered_voters,number_votes,votes_group_1,votes_group_2,votes_group_3,votes_group_4,votes_group_5,party_code,district_type_id,district_code,contest_title,candidate_name,precinct,district_name,votes_allowed,referendum_flag,cr_code,lf_code
0101,001,0119,003616,003616,000000,000000,000000,000000,000000,,,,REGISTERED VOTERS - TOTAL,REGISTERED VOTERS - TOTAL,119,,00,,,
0101,001,0122,002601,002601,000000,000000,000000,000000,000000,,,,REGISTERED VOTERS - TOTAL,REGISTERED VOTERS - TOTAL,122,,00,,,
0101,001,0135,003292,003292,000000,000000,000000,000000,000000,,,,REGISTERED VOTERS - TOTAL,REGISTERED VOTERS - TOTAL,135,,00,,,
0101,001,0138,003987,003987,000000,000000,000000,000000,000000,,,,REGISTERED VOTERS - TOTAL,REGISTERED VOTERS - TOTAL,138,,00,,,
0101,001,0140,001924,001924,000000,000000,000000,000000,000000,,,,REGISTERED VOTERS - TOTAL,REGISTERED VOTERS - TOTAL,140,,00,,,
0101,001,0145,002966,002966,000000,000000,000000,000000,000000,,,,REGISTERED VOTERS - TOTAL,REGISTERED VOTERS - TOTAL,145,,00,,,
0101,001,0146,004901,004901,000000,000000,000000,000000,000000,,,,REGISTERED VOTERS - TOTAL,REGISTERED VOTERS - TOTAL,146,,00,,,
0101,001,0147,003339,003339,000000,000000,000000,000000,000000,,,,REGISTERED VOTERS - TOTAL,REGISTERED VOTERS - TOTAL,147,,00,,,
0101,001,0149,002223,002223,000000,000000,000000,000000,000000,,,,REGISTERED VOTERS - TOTAL,REGISTERED VOTERS - TOTAL,149,,00,,,
0101,001,0150,002645,002645,000000,000000,000000,000000,000000,,,,REGISTERED VOTERS - TOTAL,REGISTERED VOTERS - TOTAL,150,,00,,,
0101,001,0151,002559,002559,000000,000000,000000,000000,000000,,,,REGISTERED VOTERS - TOTAL,REGISTERED VOTERS - TOTAL,151,,00,,,
0101,001,0152,002745,002745,000000,000000,000000,000000,000000,,,,REGISTERED VOTERS - TOTAL,REGISTERED VOTERS - TOTAL,152,,00,,,
0101,001,0160,004470,004470,000000,000000,000000,000000,000000,,,,REGISTERED VOTERS - TOTAL,REGISTERED VOTERS - TOTAL,160,,00,,,
0101,001,0162,002824,002824,000000,000000,000000,000000,000000,,,,REGISTERED VOTERS - TOTAL,REGISTERED VOTERS - TOTAL,162,,00,,,
0101,001,0172,002040,002040,000000,000000,000000,000000,000000,,,,REGISTERED VOTERS - TOTAL,REGISTERED VOTERS - TOTAL,172,,00,,,
0101,001,0182,003749,003749,000000,000000,000000,000000,000000,,,,REGISTERED VOTERS - TOTAL,REGISTERED VOTERS - TOTAL,182,,00,,,
0101,001,0185,001620,001620,000000,000000,000000,000000,000000,,,,REGISTERED VOTERS - TOTAL,REGISTERED VOTERS - TOTAL,185,,00,,,
0101,001,0186,002591,002591,000000,000000,000000,000000,000000,,,,REGISTERED VOTERS - TOTAL,REGISTERED VOTERS - TOTAL,186,,00,,,
0101,001,0189,000042,000042,000000,000000,000000,000000,000000,,,,REGISTERED VOTERS - TOTAL,REGISTERED VOTERS - TOTAL,189,,00,,,
0101,001,0190,004197,004197,000000,000000,000000,000000,000000,,,,REGISTERED VOTERS - TOTAL,REGISTERED VOTERS - TOTAL,190,,00,,,
0101,001,0197,001629,001629,000000,000000,000000,000000,000000,,,,REGISTERED VOTERS - TOTAL,REGISTERED VOTERS - TOTAL,197,,00,,,
0101,001,0198,003898,003898,000000,000000,000000,000000,000000,,,,REGISTERED VOTERS - TOTAL,REGISTERED VOTERS - TOTAL,198,,00,,,
0101,001,0201,005364,005364,000000,000000,000000,000000,000000,,,,REGISTERED VOTERS - TOTAL,REGISTERED VOTERS - TOTAL,201,,00,,,
0101,001,0204,004771,004771,000000,000000,000000,000000,000000,,,,REGISTERED VOTERS - TOTAL,REGISTERED VOTERS - TOTAL,204,,00,,,
0101,001,0206,002740,002740,000000,000000,000000,000000,000000,,,,REGISTERED VOTERS - TOTAL,REGISTERED VOTERS - TOTAL,206,,00,,,
0101,001,0207,004973,004973,000000,000000,000000,000000,000000,,,,REGISTERED VOTERS - TOTAL,REGISTERED VOTERS - TOTAL,207,,00,,,
0101,001,0216,000408,000408,000000,000000,000000,000000,000000,,,,REGISTERED VOTERS - TOTAL,REGISTERED VOTERS - TOTAL,216,,00,,,
